date|time|description|vendor|amount
2024-11-07|19:03:49|website design invoice|Best Buy|119.05
2024-11-07|12:58:12|office supplies|Tech Solutions|3784.12
2025-06-12|02:49:03|equipment maintenance|Home Depot|346.27
2024-10-15|03:57:24|domain renewal|BlueSky Consulting|1826.49
2024-09-11|19:11:51|website design invoice|Walmart|3505.99
2024-03-26|19:48:07|laptop purchase|BlueSky Consulting|1761.78
2023-12-29|08:01:52|ergonomic chair|IKEA|3832.83
2024-02-10|14:48:03|training seminar|Acme Corp|2950.85
2024-05-25|12:01:32|office supplies|Joe Smith|1960.39
2023-11-05|13:16:05|travel reimbursement|Target|1065.19
2023-01-07|12:48:42|training seminar|Mark Thompson|3044.93
2024-12-17|13:21:50|website design invoice|XYZ Ltd|1316.02
2023-04-27|12:27:35|business lunch|Home Depot|1941.03
2023-04-24|09:51:16|software subscription|Tech Solutions|-774.79
2025-04-07|13:29:12|coffee supplies|Best Buy|3889.43
2025-08-26|19:06:36|website design invoice|Best Buy|2315.95
2023-09-19|23:50:42|client payment|IKEA|4313.79
2023-01-15|14:39:47|laptop purchase|Delta Partners|3503.53
2025-02-08|02:55:15|equipment maintenance|Apple|1327.17
2023-07-23|11:46:54|office supplies|Spectrum|2626.69
2023-10-05|10:30:12|website design invoice|PayPal|1911.55
2023-10-26|05:05:32|payment received|Joe Smith|2326.04
2025-07-09|20:31:29|internet bill|IKEA|700.42
2025-09-17|22:22:24|coffee supplies|Amazon|903.72
2023-01-31|07:20:38|training seminar|Amazon|3030.46
2023-05-10|12:34:41|consulting fee|Home Depot|-113.28
2024-04-02|10:53:48|office supplies|Walmart|4314.98
2025-09-26|23:55:29|domain renewal|Joe Smith|3112.91
2023-09-19|11:48:52|marketing expense|Delta Partners|1830.29
2023-06-06|06:47:05|internet bill|Joe Smith|728.0
2023-12-08|08:26:37|client payment|Mark Thompson|-956.82
2024-08-25|09:57:51|office supplies|Staples|2232.34
2025-03-07|17:30:00|equipment maintenance|Target|-557.63
2023-03-02|00:34:08|laptop purchase|Home Depot|-775.06
2024-12-06|08:48:58|business lunch|Amazon|-178.42
2023-07-05|17:07:00|payment received|Delta Partners|482.44
2023-10-01|09:12:55|coffee supplies|Mark Thompson|3257.15
2025-03-22|11:52:39|equipment maintenance|BlueSky Consulting|4593.61
2023-09-09|20:30:53|ergonomic chair|Acme Corp|503.07
2024-09-21|01:59:51|app subscription|PayPal|275.45
2024-11-20|23:44:33|ergonomic chair|Walmart|4709.99
2023-11-20|14:38:31|website design invoice|Amazon|-745.27
2023-04-07|08:28:25|internet bill|Mark Thompson|3461.83
2024-04-05|21:55:31|ergonomic chair|Walmart|3249.45
2025-03-11|07:34:07|website design invoice|Target|1014.58
2024-11-28|18:35:52|equipment maintenance|Best Buy|4769.62
2023-04-10|20:20:43|business lunch|Walmart|3896.47
2024-08-03|19:44:00|consulting fee|Target|602.26
2023-10-02|13:51:30|app subscription|Amazon|609.51
2024-07-16|04:30:00|marketing expense|Delta Partners|147.77
2024-04-18|20:24:00|travel reimbursement|BlueSky Consulting|1688.92
2025-09-02|09:24:33|consulting fee|Tech Solutions|4914.65
2024-09-15|10:50:03|app subscription|Sarah Johnson|2902.14
2024-03-02|15:44:23|business lunch|Mark Thompson|-527.59
2025-05-22|06:00:29|project milestone payment|Acme Corp|3192.42
2023-04-14|21:22:13|software subscription|Best Buy|-280.18
2024-07-31|09:29:27|office supplies|Adobe|4449.74
2025-05-18|22:05:09|office supplies|Staples|3706.46
2023-09-13|10:28:43|ergonomic chair|Best Buy|2836.22
2025-02-28|11:28:34|printer ink|Spectrum|2482.69
2024-11-17|06:56:48|business lunch|Joe Smith|1901.86
2024-06-18|19:24:12|app subscription|Amazon|3717.23
2025-08-25|22:42:25|project milestone payment|Adobe|-721.31
2023-06-19|08:59:03|internet bill|Spectrum|1427.96
2024-07-18|09:16:48|advertising campaign|Adobe|1710.3
2023-10-11|20:48:15|software subscription|Acme Corp|-550.38
2025-03-13|00:23:18|consulting fee|Best Buy|3445.67
2025-09-03|04:30:06|travel reimbursement|Delta Partners|2741.08
2023-08-11|22:49:46|office supplies|Mark Thompson|3758.09
2025-07-01|01:29:50|app subscription|Home Depot|1480.19
2023-05-27|13:09:04|software subscription|Target|1098.82
2023-06-30|23:57:55|client payment|Target|3629.01
2023-05-09|14:37:23|business lunch|Delta Partners|1012.52
2024-02-13|07:55:39|coffee supplies|Apple|3210.57
2024-06-19|01:31:34|consulting fee|Spectrum|4366.06
2024-02-04|17:43:15|office supplies|Sunrise LLC|3403.3
2023-04-12|02:20:28|printer ink|Staples|-564.91
2024-07-31|03:19:47|printer ink|Walmart|37.85
2024-01-19|18:35:03|equipment maintenance|IKEA|1741.28
2024-04-24|09:27:32|marketing expense|Walmart|540.5
2024-10-01|10:47:18|project milestone payment|Adobe|4551.34
2025-04-30|15:54:18|client payment|Spectrum|263.51
2023-02-16|22:04:31|equipment maintenance|Staples|933.4
2024-05-06|10:24:50|consulting fee|Sunrise LLC|3039.48
2023-01-14|13:09:26|ergonomic chair|Staples|4244.54
2023-04-24|14:33:15|equipment maintenance|Staples|-753.38
2025-04-28|18:27:05|office supplies|XYZ Ltd|2621.99
2023-09-18|12:47:31|domain renewal|Staples|-675.2
2024-10-22|08:34:26|marketing expense|IKEA|1288.75
2025-01-12|06:20:00|consulting fee|Walmart|57.06
2025-10-04|08:21:41|travel reimbursement|Adobe|4968.95
2025-05-27|18:22:00|equipment maintenance|Best Buy|-535.54
2023-05-02|15:15:19|equipment maintenance|Delta Partners|2144.17
2024-04-27|19:58:44|client payment|Sunrise LLC|972.55
2023-02-26|19:47:42|laptop purchase|Tech Solutions|3855.6
2025-08-06|18:11:48|app subscription|Walmart|3637.53
2025-05-07|13:16:46|coffee supplies|Target|2931.42
2024-03-08|20:23:14|office supplies|Spectrum|4340.68
2024-08-30|04:46:56|internet bill|Delta Partners|466.13
2025-06-03|08:06:14|equipment maintenance|Walmart|2166.73
2024-10-29|15:24:02|app subscription|Adobe|3223.09
2025-06-27|01:23:28|office supplies|IKEA|1475.91
2025-05-16|17:02:38|internet bill|Acme Corp|-56.47
2025-06-09|22:23:24|software subscription|XYZ Ltd|2484.07
2025-06-25|12:52:34|internet bill|Home Depot|4892.58
2025-10-04|19:37:22|business lunch|Apple|71.01
2025-01-03|00:00:06|ergonomic chair|BlueSky Consulting|4619.45
2024-10-18|17:56:24|travel reimbursement|Sunrise LLC|4089.1
2025-07-23|20:46:53|payment received|Sunrise LLC|1498.86
2024-07-03|08:01:13|travel reimbursement|Sunrise LLC|745.73
2023-05-07|18:54:23|client payment|Spectrum|3244.13
2025-04-16|11:50:51|website design invoice|Walmart|-483.27
2023-01-05|15:02:07|software subscription|Amazon|3962.61
2023-08-11|02:31:51|software subscription|Amazon|4495.71
2024-03-14|12:44:19|app subscription|Delta Partners|4585.49
2023-08-24|14:46:24|software subscription|XYZ Ltd|3370.78
2025-01-23|08:45:35|coffee supplies|Acme Corp|1122.15
2024-12-06|01:00:58|equipment maintenance|Spectrum|236.05
2023-09-03|03:53:23|consulting fee|Best Buy|4941.6
2025-09-22|15:12:36|client payment|Staples|1949.27
2025-05-04|18:17:03|training seminar|Best Buy|2429.83
2025-01-14|10:27:32|consulting fee|Best Buy|4923.29
2023-10-02|00:29:14|project milestone payment|XYZ Ltd|-988.59
2024-03-09|01:39:59|equipment maintenance|Apple|2621.79
2023-03-28|04:51:28|payment received|Spectrum|-24.51
2023-05-30|08:37:19|domain renewal|Home Depot|-517.93
2024-08-10|11:32:43|marketing expense|Walmart|1497.57
2025-09-04|13:08:52|internet bill|XYZ Ltd|742.46
2023-08-11|23:39:51|advertising campaign|Delta Partners|1365.44
2023-07-22|22:45:24|payment received|Tech Solutions|3785.2
2023-01-23|15:09:40|domain renewal|Mark Thompson|-342.13
2025-06-21|21:34:33|printer ink|Best Buy|770.47
2025-07-08|13:32:21|website design invoice|Tech Solutions|3709.07
2023-01-16|03:44:26|marketing expense|Tech Solutions|136.6
2023-07-28|02:23:35|printer ink|Tech Solutions|1024.25
2025-04-08|04:35:25|office supplies|Sunrise LLC|1182.02
2023-02-24|09:30:06|advertising campaign|Staples|3896.58
2025-02-16|22:34:28|training seminar|Mark Thompson|3875.48
2025-07-03|21:14:48|business lunch|BlueSky Consulting|670.59
2024-01-17|00:00:43|marketing expense|Target|-762.92
2024-07-08|08:48:55|software subscription|Amazon|2787.97
2024-04-18|20:37:21|software subscription|Sarah Johnson|244.44
2023-11-13|18:09:05|business lunch|Sarah Johnson|4875.0
2024-10-25|23:38:58|training seminar|Delta Partners|3328.93
2024-07-26|07:17:15|printer ink|Spectrum|1672.85
2024-09-04|02:48:45|ergonomic chair|Apple|2069.91
2025-09-03|23:53:40|office supplies|Spectrum|2366.19
2023-10-02|10:50:29|business lunch|Adobe|3984.59
2023-08-25|06:42:11|laptop purchase|Joe Smith|2062.36
2024-10-02|09:10:27|app subscription|Home Depot|-807.51
2024-08-18|13:44:27|travel reimbursement|BlueSky Consulting|4875.02
2025-05-22|14:05:13|client payment|IKEA|424.58
2024-02-01|02:42:02|client payment|Walmart|1756.51
2024-08-03|01:59:23|office supplies|Amazon|1242.73
2024-08-07|09:16:42|software subscription|Mark Thompson|-464.88
2023-01-30|07:11:06|client payment|Amazon|-391.74
2024-09-21|01:34:48|software subscription|XYZ Ltd|155.29
2023-05-03|14:02:47|equipment maintenance|Tech Solutions|3702.33
2025-01-16|23:33:31|client payment|BlueSky Consulting|4087.06
2023-05-15|00:00:43|printer ink|Mark Thompson|322.51
2024-05-30|03:19:53|office supplies|Staples|107.59
2024-01-20|07:56:12|project milestone payment|XYZ Ltd|707.09
2025-06-16|13:26:21|coffee supplies|Best Buy|698.65
2024-01-19|09:35:04|domain renewal|Best Buy|3456.51
2025-01-11|09:32:44|advertising campaign|Delta Partners|4588.79
2024-08-23|16:45:01|app subscription|Home Depot|2669.55
2024-06-20|03:34:09|payment received|Apple|3786.64
2025-01-19|03:44:16|travel reimbursement|PayPal|2842.78
2023-08-01|21:40:05|payment received|Walmart|4702.96
2023-12-15|02:46:17|office supplies|Joe Smith|4804.51
2024-03-15|18:40:34|internet bill|Target|655.76
2025-05-05|01:11:49|marketing expense|Apple|-850.03
2023-01-02|09:59:06|domain renewal|Mark Thompson|-63.0
2024-08-24|19:00:08|office supplies|Best Buy|3230.68
2023-11-23|09:46:44|training seminar|Delta Partners|4527.83
2025-06-09|19:27:30|equipment maintenance|BlueSky Consulting|2234.34
2023-08-27|13:04:32|training seminar|Home Depot|4869.56
2025-06-29|02:31:30|office supplies|Adobe|2371.71
2023-12-30|18:00:20|software subscription|BlueSky Consulting|-978.37
2024-03-07|02:53:19|consulting fee|Staples|1816.96
2024-09-29|23:12:30|internet bill|Walmart|1654.38
2023-01-10|02:20:21|business lunch|Joe Smith|2176.88
2025-08-20|11:51:01|laptop purchase|Apple|3582.87
2025-08-09|08:15:36|domain renewal|XYZ Ltd|3281.42
2025-02-23|21:02:11|training seminar|Delta Partners|2471.15
2024-12-01|21:02:59|app subscription|Joe Smith|30.07
2023-10-26|05:39:13|travel reimbursement|Tech Solutions|-357.26
2023-09-29|11:58:45|training seminar|Acme Corp|-864.58
2023-01-07|11:52:23|training seminar|Sarah Johnson|1912.01
2024-06-24|04:38:56|app subscription|PayPal|4740.58
2023-02-04|04:45:04|consulting fee|Mark Thompson|560.15
2025-09-16|14:26:04|business lunch|XYZ Ltd|4525.21
2025-04-30|10:21:56|advertising campaign|PayPal|3924.37
2025-05-05|06:35:50|domain renewal|IKEA|4476.91
2023-06-21|04:22:35|software subscription|Walmart|4747.0
2025-08-11|06:31:33|ergonomic chair|Apple|2147.32
2024-03-31|04:28:25|ergonomic chair|Staples|537.08
2023-03-01|01:14:08|printer ink|Apple|1763.42
2023-07-13|04:56:04|internet bill|Best Buy|296.66
2023-04-01|07:00:11|laptop purchase|Delta Partners|-475.85
2025-09-19|16:37:05|ergonomic chair|Target|3922.5
2024-01-25|07:31:56|payment received|Tech Solutions|-764.59
2023-06-11|01:00:51|coffee supplies|XYZ Ltd|2315.63
2023-07-28|22:44:53|project milestone payment|Tech Solutions|1379.7
2024-12-24|08:31:24|laptop purchase|Tech Solutions|3252.13
2024-03-16|10:39:19|software subscription|Amazon|902.89
2025-07-16|11:54:29|advertising campaign|BlueSky Consulting|3760.17
2024-04-14|08:23:51|website design invoice|Apple|353.76
2025-08-04|15:51:55|website design invoice|Apple|4071.26
2025-06-11|17:52:31|travel reimbursement|BlueSky Consulting|478.24
2025-03-04|13:45:00|coffee supplies|Tech Solutions|2168.68
2025-01-08|12:36:12|internet bill|Joe Smith|1846.91
2025-03-22|06:57:05|payment received|Mark Thompson|4854.1
2025-02-19|10:28:24|consulting fee|Mark Thompson|763.33
2023-01-20|10:52:12|advertising campaign|Apple|474.13
2023-07-10|21:04:45|consulting fee|Tech Solutions|4.83
2024-11-08|22:29:28|ergonomic chair|Delta Partners|-747.21
2023-01-23|06:41:55|business lunch|Sarah Johnson|1189.47
2025-07-30|05:38:32|business lunch|Apple|4558.36
2025-08-13|09:38:37|domain renewal|Home Depot|-129.8
2025-07-25|14:08:21|equipment maintenance|Target|4548.33
2024-03-18|05:40:59|equipment maintenance|Mark Thompson|711.51
2024-04-29|22:24:16|consulting fee|BlueSky Consulting|-654.17
2024-12-11|08:56:50|business lunch|Sarah Johnson|-847.61
2025-02-19|04:55:43|ergonomic chair|Adobe|4893.46
2024-09-20|15:14:32|printer ink|BlueSky Consulting|3128.86
2024-12-18|00:50:39|marketing expense|Amazon|1270.74
2025-02-26|06:38:07|payment received|Home Depot|3298.55
2023-09-21|19:45:30|ergonomic chair|Home Depot|3406.76
2023-05-04|18:35:05|equipment maintenance|Sunrise LLC|476.57
2024-11-17|22:55:38|laptop purchase|Sarah Johnson|2335.37
2023-01-14|21:04:09|advertising campaign|Staples|-699.81
2024-05-06|00:22:24|office supplies|Sunrise LLC|2997.35
2024-07-15|06:38:34|coffee supplies|Joe Smith|4339.03
2025-01-11|07:40:15|ergonomic chair|Apple|1135.67
2023-03-03|19:27:49|equipment maintenance|Walmart|561.91
2025-09-17|17:00:44|ergonomic chair|BlueSky Consulting|-2.14
2024-12-20|00:36:37|printer ink|Spectrum|3897.51
2023-05-14|14:03:28|app subscription|Tech Solutions|-249.73
2024-01-28|15:51:48|payment received|IKEA|4621.42
2024-12-24|08:32:13|consulting fee|Apple|4703.44
2024-04-21|01:44:19|advertising campaign|Joe Smith|2345.4
2023-05-01|01:49:15|software subscription|Sunrise LLC|874.3
2025-02-08|04:14:01|website design invoice|PayPal|529.71
2023-11-24|11:03:37|travel reimbursement|Adobe|-662.44
2024-10-15|17:13:40|business lunch|XYZ Ltd|2995.56
2023-12-04|10:22:49|equipment maintenance|Acme Corp|4975.57
2025-03-30|03:11:45|travel reimbursement|Spectrum|4540.22
2025-06-17|18:23:27|advertising campaign|Sarah Johnson|-414.32
2024-07-12|05:00:27|internet bill|Adobe|3763.49
2024-02-11|22:50:31|consulting fee|Sarah Johnson|4710.82
2024-07-04|11:46:00|website design invoice|Best Buy|3665.0
2025-05-20|16:20:02|domain renewal|IKEA|1420.39
2024-10-16|02:35:40|website design invoice|Sunrise LLC|1318.41
2025-03-05|12:58:04|equipment maintenance|Home Depot|-92.94
2023-10-02|21:08:48|ergonomic chair|Mark Thompson|581.44
2025-10-07|12:59:51|domain renewal|XYZ Ltd|1120.32
2023-03-31|13:26:05|website design invoice|Best Buy|4938.5
2024-07-10|04:07:25|travel reimbursement|Delta Partners|1042.97
2024-02-11|14:14:07|website design invoice|BlueSky Consulting|1107.7
2024-08-04|07:38:38|office supplies|Sarah Johnson|2542.54
2023-03-06|05:08:57|business lunch|Adobe|2501.92
2024-04-20|01:13:22|consulting fee|Tech Solutions|3354.64
2023-03-14|07:43:49|office supplies|IKEA|2521.22
2024-04-29|13:19:47|equipment maintenance|Staples|4197.88
2023-09-11|03:44:56|laptop purchase|Mark Thompson|482.64
2024-03-24|09:51:09|printer ink|Home Depot|-94.24
2023-06-03|23:09:41|office supplies|IKEA|1943.18
2025-07-14|00:48:47|client payment|Sarah Johnson|4965.79
2025-02-12|13:59:48|coffee supplies|Target|4512.62
2025-07-14|02:41:54|domain renewal|Joe Smith|2172.54
2023-09-01|02:05:52|laptop purchase|XYZ Ltd|1074.65
2023-11-26|06:26:41|internet bill|Delta Partners|4982.93
2025-04-01|15:35:55|software subscription|Acme Corp|3769.87
2024-01-12|17:51:42|software subscription|Adobe|-639.14
2024-07-13|03:52:08|coffee supplies|BlueSky Consulting|1969.07
2023-12-17|12:16:24|internet bill|IKEA|4755.67
2025-05-13|23:46:31|coffee supplies|Joe Smith|417.25
2024-06-06|13:09:51|laptop purchase|Apple|-456.55
2023-07-07|17:01:43|software subscription|Tech Solutions|1136.56
2023-10-09|17:18:37|advertising campaign|Amazon|1801.36
2023-12-31|08:54:07|printer ink|XYZ Ltd|2971.35
2023-05-14|21:56:04|office supplies|Spectrum|4208.91
2023-07-30|00:02:50|consulting fee|Home Depot|1695.48
2023-08-28|02:30:23|office supplies|BlueSky Consulting|2831.17
2025-10-04|11:48:46|business lunch|Staples|3130.14
2023-07-11|15:48:51|internet bill|Delta Partners|2712.33
2025-01-24|12:44:32|printer ink|Tech Solutions|3176.62
2023-03-07|10:56:40|travel reimbursement|Walmart|-430.51
2024-12-04|23:45:57|printer ink|Joe Smith|2562.13
2023-11-14|21:46:05|client payment|Amazon|-194.82
2025-04-24|14:10:20|payment received|Mark Thompson|-467.32
2024-06-19|12:15:42|coffee supplies|Sunrise LLC|1517.86
2023-04-14|05:08:38|app subscription|Sunrise LLC|-576.99
2023-08-28|02:17:44|training seminar|Target|617.8
2023-08-11|09:52:57|printer ink|XYZ Ltd|-268.65
2024-12-31|03:38:08|marketing expense|Acme Corp|1931.05
2025-07-04|20:17:03|internet bill|Delta Partners|4996.31
2023-09-09|22:51:55|project milestone payment|PayPal|3180.11
2024-05-23|06:07:32|domain renewal|Spectrum|582.71
2024-06-15|21:03:18|travel reimbursement|Target|4199.39
2024-03-14|08:52:02|ergonomic chair|Tech Solutions|133.92
2023-04-04|06:22:16|printer ink|XYZ Ltd|3215.14
2025-04-26|01:51:44|business lunch|Best Buy|-861.49
2025-09-21|05:13:08|equipment maintenance|Sarah Johnson|860.04
2025-05-22|17:51:09|consulting fee|XYZ Ltd|-687.23
2024-08-15|12:04:47|website design invoice|Spectrum|1320.02
2025-09-12|13:19:04|advertising campaign|Apple|1833.73
2023-07-29|22:05:37|advertising campaign|Adobe|3504.18
2025-09-24|08:04:51|client payment|BlueSky Consulting|-504.27
2024-01-05|05:58:45|advertising campaign|Staples|-579.8
2024-05-06|03:28:25|website design invoice|Home Depot|-510.68
2023-03-02|19:05:21|printer ink|PayPal|4472.02
2023-03-31|04:37:54|website design invoice|Tech Solutions|-143.56
2023-11-01|10:51:39|office supplies|Delta Partners|-443.01
2025-09-13|05:06:18|business lunch|IKEA|1867.11
2024-10-19|15:49:47|website design invoice|Spectrum|4426.59
2023-01-27|22:27:58|software subscription|BlueSky Consulting|101.29
2025-06-29|21:16:10|software subscription|XYZ Ltd|926.76
2024-01-02|00:20:38|equipment maintenance|Spectrum|-663.79
2024-01-25|05:35:39|business lunch|Amazon|706.43
2024-07-02|13:44:44|advertising campaign|BlueSky Consulting|-813.34
2023-09-18|14:54:38|app subscription|Sarah Johnson|-399.53
2023-12-03|21:05:53|client payment|Sarah Johnson|1859.87
2024-05-17|23:37:52|software subscription|Mark Thompson|3991.31
2025-03-23|10:33:56|training seminar|Amazon|1883.1
2023-07-11|08:39:29|ergonomic chair|Walmart|4883.08
2025-07-04|12:43:04|office supplies|PayPal|4208.44
2025-02-20|21:24:05|marketing expense|XYZ Ltd|4521.3
2025-06-10|15:16:54|consulting fee|Best Buy|-245.19
2024-03-18|05:33:16|app subscription|Target|237.07
2023-12-14|04:54:47|website design invoice|Best Buy|2554.69
2024-10-05|14:47:54|coffee supplies|Staples|4552.51
2025-10-08|22:40:45|software subscription|Walmart|-899.46
2025-08-27|00:50:17|app subscription|Spectrum|-585.28
2025-08-10|20:51:42|website design invoice|Sarah Johnson|4653.32
2024-11-25|12:13:12|training seminar|Joe Smith|2602.15
2024-05-29|06:29:30|office supplies|Mark Thompson|-44.35
2024-09-09|00:23:43|business lunch|Sarah Johnson|3171.6
2024-05-17|09:24:46|domain renewal|Adobe|-780.42
2025-08-28|17:19:08|laptop purchase|PayPal|3.98
2024-03-01|15:43:26|client payment|Best Buy|3154.93
2025-02-24|02:21:25|internet bill|Sunrise LLC|1569.98
2025-07-18|22:01:43|travel reimbursement|Acme Corp|1234.05
2023-04-17|07:39:45|laptop purchase|Joe Smith|-33.99
2025-06-12|17:31:12|advertising campaign|Adobe|255.96
2024-04-09|11:42:26|advertising campaign|Adobe|197.61
2023-02-14|17:42:52|website design invoice|PayPal|74.62
2023-11-29|04:28:55|website design invoice|IKEA|1658.45
2024-01-13|10:42:49|internet bill|Best Buy|-462.09
2023-02-10|23:40:30|software subscription|Spectrum|4119.19
2023-01-03|22:46:38|office supplies|Delta Partners|1392.67
2025-03-12|12:56:58|website design invoice|XYZ Ltd|2536.34
2024-10-24|07:01:30|laptop purchase|Acme Corp|4347.47
2024-08-14|03:44:37|internet bill|Amazon|-485.27
2024-12-02|02:47:26|laptop purchase|Walmart|3518.13
2024-06-09|09:11:11|app subscription|Best Buy|2174.64
2025-09-19|01:10:38|app subscription|XYZ Ltd|-596.64
